id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>
100	biofuel additive	-0.962	-0.1034	1	48	108	8	2019.375
101	biofuel cell	-0.5122	1.0542	5	162	1186	68	2017.5882
102	biofuel cell application	-0.6731	1.2003	5	70	163	7	2017.1429
103	biofuel precursor	-0.9073	-0.2432	1	33	90	5	2019
104	biofuel upgrade	-0.8145	0.1481	1	48	94	7	2018.7143
105	biofuels	-0.527	-0.0283	1	80	122	9	2018.8889
106	biogas	0.2233	0.0282	3	117	356	27	2020.3704
107	biogas slurry	0.1248	-0.2149	4	7	60	6	2019
108	biohydrogen	0.4786	0.4295	3	90	207	12	2021.25
109	biohydrogen production	0.5924	0.6503	3	46	283	17	2020.8235
110	bioink	-0.6328	1.0936	5	26	170	5	2019
111	biological process	0.3283	0.2136	3	36	67	5	2021.2
112	biomass concentration	0.7942	0.6976	3	58	177	7	2019.5714
113	biomass derivative	-0.8857	0.1041	1	63	143	8	2019
114	biomass gasification	0.315	-0.0137	3	22	53	8	2017.875
115	biomass pretreatment	-0.2216	0.1906	3	12	41	5	2014.6
116	biomass valorization	-0.6834	-0.2222	1	58	103	8	2020
117	biomolecule	-0.641	0.8471	5	51	150	7	2013.7143
118	bioreactor	0.6094	0.4776	3	57	221	12	2016.8333
119	biorefinery	0.0174	0.158	3	190	545	37	2018.8919
120	biosensor	-0.6151	1.1581	5	91	531	24	2018.2917
121	blend	1.1701	0.092	6	261	1820	89	2019.9888
122	blending	0.6792	-0.0334	6	91	184	12	2021
123	bod	-0.5914	1.2305	5	42	120	5	2015.2
124	box behnken design	0.3016	-0.2546	2	34	48	5	2021
125	bpe	-1.3307	-0.0991	1	10	90	5	2022
126	brake specific fuel consumption	1.5311	0.1767	6	68	216	9	2020.3333
127	brake thermal efficiency	1.5727	0.1457	6	127	531	22	2020.6818
128	brazil	0.4341	-0.1479	3	65	184	13	2020.2308
129	brnsted acid site	-0.4233	-0.1835	1	65	128	11	2018.6364
130	brunaueremmettteller	0.0206	-0.0379	2	52	74	7	2019.2857
131	bsfc	1.7554	0.0978	6	68	274	9	2021.2222
